id_item;category;question;correct_answer;incorrect_answer_a;incorrect_answer_b;incorrect_answer_c;visualizations
1;arquitectura;¿A qué deidad griega representa la estatua de \El Coloso de Rodas\?;Helios;Zeus;Artemisa;Hades;2224
2;arquitectura;¿A qué estilo arquitectónico pertenece el Big Ben?;Neogótico;Neobarroco;Neoclásico;Neotudor;2180
3;arquitectura;¿Cómo se conoce comúnmente a la primera universidad de París?;La Sorbona;El Diderot;El Liceo;El Saclay;2220
4;arquitectura;¿Cómo se llama el muro romano de 119 km de longitud del norte de Inglaterra?;Muro de Adriano;Muro del Coliseo;Muro del César;Muro del Leviatán ;2185
5;arquitectura;¿Cómo se llama el refugio hecho con nieve endurecida en el que viven los Inuit?;Iglú;Cueva glaciar;Cueva de nieve;Quinzhee;2210
6;arquitectura;¿Cómo se llama la tienda de forma cónica en la que vivían los Nativos Americanos?;Tipi;Chum;Goahti;Oca;2275
7;arquitectura;¿Con qué función se construyó originalmente el Louvre?;Fortaleza;Bodega;Biblioteca;Universidad;2257
8;arquitectura;¿Cuál era el nombre del diseñador de la Torre Eiffel?;Alexandre Gustave;Flaubert Abel;Jean Bertrand;Léon Dominique;2222
9;arquitectura;¿Cuál fue durante más de 3.800 años la estructura más alta creada por el hombre?;Gran Pirámide de Guiza;Torre de Babel;Gran Muralla China;Faro de Alejandría;2291
10;arquitectura;¿Cuántas Maravillas del Mundo Antiguo solía haber?;7;3;5;9;2234
11;arquitectura;¿De qué buscaba protegerse el imperio chino cuando construyó la Gran Muralla China?;Asaltos e invasiones nomádicas;La inundación del Tangtze y el Huang He;Un abrumador incendio;Espíritus malignos;2197
12;arquitectura;¿De qué está hecho el esqueleto de la Torre Eiffel?;Hierro forjado;Titanio;Bronce sin pulir;Cobre;2288
13;arquitectura;¿Dónde se encuentra el edificio conocido como el Atomium?;Bruselas;Amsterdam;París;Luxemburgo;2265
14;arquitectura;¿Dónde se encuentra el hotel de lujo \Burj Al Arab\, que parece la vela de un barco?;Dubai, Emiratos Árabes Unidos;Doha, Qatar;Kuwait, Kuwait;Medina, Arabia Saudita;2284
15;arquitectura;¿Dónde se encuentra el monumento prehistórico Stonehenge?;Wiltshire, Inglaterra;Waterford, Irlanda;Swansea, Gales;Stirling, Escocia;2205
16;arquitectura;¿Dónde se encuentra el Taj Mahal?;Agra, India;Karachi, Pakistán;Daca, Bangladesh;Katmandú, Nepal;2288
